fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
7,4;0,70;0,00;1,9;0,0760;11;34;0,9978;3,51;0,56;9,4;REGULAR-MALO
7,8;0,88;0,00;2,6;0,0980;25;67;0,9968;3,20;0,68;9,8;REGULAR-MALO
7,8;0,76;0,04;2,3;0,0920;15;54;0,9970;3,26;0,65;9,8;REGULAR-MALO
11,2;0,28;0,56;1,9;0,0750;17;60;0,9980;3,16;0,58;9,8;REGULAR-BUENO
7,4;0,70;0,00;1,9;0,0760;11;34;0,9978;3,51;0,56;9,4;REGULAR-MALO
7,4;0,66;0,00;1,8;0,0750;13;40;0,9978;3,51;0,56;9,4;REGULAR-MALO
7,9;0,60;0,06;1,6;0,0690;15;59;0,9964;3,30;0,46;9,4;REGULAR-MALO
7,3;0,65;0,00;1,2;0,0650;15;21;0,9946;3,39;0,47;10,0;BUENO
7,8;0,58;0,02;2,0;0,0730;9;18;0,9968;3,36;0,57;9,5;BUENO
7,5;0,50;0,36;6,1;0,0710;17;102;0,9978;3,35;0,80;10,5;REGULAR-MALO
6,7;0,58;0,08;1,8;0,0970;15;65;0,9959;3,28;0,54;9,2;REGULAR-MALO
7,5;0,50;0,36;6,1;0,0710;17;102;0,9978;3,35;0,80;10,5;REGULAR-MALO
5,6;0,62;0,00;1,6;0,0890;16;59;0,9943;3,58;0,52;9,9;REGULAR-MALO
7,8;0,61;0,29;1,6;0,1140;9;29;0,9974;3,26;1,56;9,1;REGULAR-MALO
8,9;0,62;0,18;3,8;0,1760;52;145;0,9986;3,16;0,88;9,2;REGULAR-MALO
8,9;0,62;0,19;3,9;0,1700;51;148;0,9986;3,17;0,93;9,2;REGULAR-MALO
8,5;0,28;0,56;1,8;0,0920;35;103;0,9969;3,30;0,75;10,5;BUENO
8,1;0,56;0,28;1,7;0,3680;16;56;0,9968;3,11;1,28;9,3;REGULAR-MALO
7,4;0,59;0,08;4,4;0,0860;6;29;0,9974;3,38;0,50;9,0;MALO
7,9;0,32;0,51;1,8;0,3410;17;56;0,9969;3,04;1,08;9,2;REGULAR-BUENO
8,9;0,22;0,48;1,8;0,0770;29;60;0,9968;3,39;0,53;9,4;REGULAR-BUENO
7,6;0,39;0,31;2,3;0,0820;23;71;0,9982;3,52;0,65;9,7;REGULAR-MALO
7,9;0,43;0,21;1,6;0,1060;10;37;0,9966;3,17;0,91;9,5;REGULAR-MALO
8,5;0,49;0,11;2,3;0,0840;9;67;0,9968;3,17;0,53;9,4;REGULAR-MALO
6,9;0,40;0,14;2,4;0,0850;21;40;0,9968;3,43;0,63;9,7;REGULAR-BUENO
6,3;0,39;0,16;1,4;0,0800;11;23;0,9955;3,34;0,56;9,3;REGULAR-MALO
7,6;0,41;0,24;1,8;0,0800;4;11;0,9962;3,28;0,59;9,5;REGULAR-MALO
7,9;0,43;0,21;1,6;0,1060;10;37;0,9966;3,17;0,91;9,5;REGULAR-MALO
7,1;0,71;0,00;1,9;0,0800;14;35;0,9972;3,47;0,55;9,4;REGULAR-MALO
7,8;0,65;0,00;2,0;0,0820;8;16;0,9964;3,38;0,59;9,8;REGULAR-BUENO
6,7;0,68;0,07;2,4;0,0890;17;82;0,9958;3,35;0,54;10,1;REGULAR-MALO
6,9;0,69;0,00;2,5;0,1050;22;37;0,9966;3,46;0,57;10,6;REGULAR-BUENO
8,3;0,66;0,12;2,3;0,0830;15;113;0,9966;3,17;0,66;9,8;REGULAR-MALO
6,9;0,61;0,12;10,7;0,0730;40;83;0,9993;3,45;0,52;9,4;REGULAR-BUENO
5,2;0,32;0,25;1,8;0,1030;13;50;0,9957;3,38;0,55;9,2;REGULAR-MALO
7,8;0,65;0,00;5,5;0,0860;5;18;0,9986;3,40;0,55;9,6;REGULAR-BUENO
7,8;0,60;0,14;2,4;0,0860;3;15;0,9975;3,42;0,60;10,8;REGULAR-BUENO
8,1;0,38;0,28;2,1;0,0660;13;30;0,9968;3,23;0,73;9,7;BUENO
5,7;1,13;0,09;1,5;0,1720;7;19;0,9940;3,50;0,48;9,8;MALO
7,3;0,45;0,36;5,9;0,0740;12;87;0,9978;3,33;0,83;10,5;REGULAR-MALO
7,3;0,45;0,36;5,9;0,0740;12;87;0,9978;3,33;0,83;10,5;REGULAR-MALO
8,8;0,61;0,30;2,8;0,0880;17;46;0,9976;3,26;0,51;9,3;MALO
7,5;0,49;0,20;2,6;0,3320;8;14;0,9968;3,21;0,90;10,5;REGULAR-BUENO
8,1;0,66;0,22;2,2;0,0690;9;23;0,9968;3,30;1,20;10,3;REGULAR-MALO
6,8;0,67;0,02;1,8;0,0500;5;11;0,9962;3,48;0,52;9,5;REGULAR-MALO
4,6;0,52;0,15;2,1;0,0540;8;65;0,9934;3,90;0,56;13,1;MALO
7,7;0,94;0,43;2,2;0,1140;22;114;0,9970;3,25;0,73;9,2;REGULAR-MALO
8,7;0,29;0,52;1,6;0,1130;12;37;0,9969;3,25;0,58;9,5;REGULAR-MALO
6,4;0,40;0,23;1,6;0,0660;5;12;0,9958;3,34;0,56;9,2;REGULAR-MALO
5,6;0,31;0,37;1,4;0,0740;12;96;0,9954;3,32;0,58;9,2;REGULAR-MALO
8,8;0,66;0,26;1,7;0,0740;4;23;0,9971;3,15;0,74;9,2;REGULAR-MALO
6,6;0,52;0,04;2,2;0,0690;8;15;0,9956;3,40;0,63;9,4;REGULAR-BUENO
6,6;0,50;0,04;2,1;0,0680;6;14;0,9955;3,39;0,64;9,4;REGULAR-BUENO
8,6;0,38;0,36;3,0;0,0810;30;119;0,9970;3,20;0,56;9,4;REGULAR-MALO
7,6;0,51;0,15;2,8;0,1100;33;73;0,9955;3,17;0,63;10,2;REGULAR-BUENO
7,7;0,62;0,04;3,8;0,0840;25;45;0,9978;3,34;0,53;9,5;REGULAR-MALO
10,2;0,42;0,57;3,4;0,0700;4;10;0,9971;3,04;0,63;9,6;REGULAR-MALO
7,5;0,63;0,12;5,1;0,1110;50;110;0,9983;3,26;0,77;9,4;REGULAR-MALO
7,8;0,59;0,18;2,3;0,0760;17;54;0,9975;3,43;0,59;10,0;REGULAR-MALO
7,3;0,39;0,31;2,4;0,0740;9;46;0,9962;3,41;0,54;9,4;REGULAR-BUENO
